,Unnamed: 0,Unnamed: 0.1,user,group,task,phase,start,end,duration
50,56,66.0,beluga,control,2,0,2022-04-15 13:23:09.925900,2022-04-15 13:29:18.876522,6.15
51,57,67.0,beluga,control,2,1,2022-04-15 13:29:18.877212,2022-04-15 13:44:23.799202,15.08
52,58,68.0,beluga,control,3,0,2022-04-15 13:44:23.799917,2022-04-15 13:51:05.660693,6.7
53,59,69.0,beluga,control,3,1,2022-04-15 13:51:05.661428,2022-04-15 14:05:00.702027,13.92
54,66,78.0,noon,canvas,1,0,2022-04-15 23:42:32.899077,2022-04-15 23:47:45.552619,5.21
55,67,79.0,noon,canvas,1,1,2022-04-15 23:47:45.553000,2022-04-15 23:50:14.055143,2.48
56,68,80.0,noon,canvas,2,0,2022-04-15 23:50:14.055698,2022-04-15 23:54:35.048902,4.35
57,69,81.0,noon,canvas,2,1,2022-04-15 23:54:35.049318,2022-04-16 00:27:20.735219,32.76
58,70,82.0,noon,canvas,3,0,2022-04-16 00:27:20.736850,2022-04-16 00:34:09.508201,6.81
59,71,83.0,noon,canvas,3,1,2022-04-16 00:34:09.508762,2022-04-16 00:36:30.945365,2.36
60,84,99.0,soup,canvas,1,0,2022-04-17 18:24:35.108592,2022-04-17 18:32:01.042412,7.43
61,85,100.0,soup,canvas,1,1,2022-04-17 18:32:01.042888,2022-04-17 18:35:26.229906,3.42
62,86,101.0,soup,canvas,2,0,2022-04-17 18:35:26.230396,2022-04-17 18:43:15.448964,7.82
63,87,102.0,soup,canvas,2,1,2022-04-17 18:43:15.449694,2022-04-17 18:53:38.924648,10.39
64,88,103.0,soup,canvas,3,0,2022-04-17 18:53:38.925053,2022-04-17 18:57:40.231750,4.02
65,89,104.0,soup,canvas,3,1,2022-04-17 18:57:40.232424,2022-04-17 19:04:21.658870,6.69
66,90,106.0,drive,control,1,0,2022-04-12 13:38:38.810529,2022-04-12 13:53:59.413157,15.34
67,91,107.0,drive,control,1,1,2022-04-12 13:53:59.413757,2022-04-12 13:59:43.265117,5.73
68,92,108.0,drive,control,2,0,2022-04-12 13:59:43.265591,2022-04-12 14:21:33.532370,21.84
69,93,109.0,drive,control,2,1,2022-04-12 14:21:33.533271,2022-04-12 14:36:05.839812,14.54
70,94,110.0,drive,control,3,0,2022-04-12 14:36:05.840637,2022-04-12 14:41:03.550614,4.96
71,95,111.0,drive,control,3,1,2022-04-12 14:41:03.551397,2022-04-12 14:48:38.811136,7.59
72,96,113.0,owl,canvas,1,0,2022-08-11 11:09:58.237571,2022-08-11 11:35:39.840559,25.69
73,97,114.0,owl,canvas,1,1,2022-08-11 11:35:40.050645,2022-08-11 11:39:17.741155,3.63
74,98,115.0,owl,canvas,2,0,2022-08-11 11:39:17.741466,2022-08-11 11:42:48.432501,3.51
75,99,116.0,owl,canvas,2,1,2022-08-11 11:42:48.432905,2022-08-11 11:44:45.708681,1.95
76,100,117.0,owl,canvas,3,0,2022-08-11 11:44:45.709178,2022-08-11 11:49:57.075880,5.19
77,101,118.0,owl,canvas,3,1,2022-08-11 11:49:57.076177,2022-08-11 11:52:02.447680,2.09
78,102,120.0,aqua,control,1,0,2022-08-14 13:55:50.774208,2022-08-14 13:58:22.406422,2.53
79,103,121.0,aqua,control,1,1,2022-08-14 13:58:22.407408,2022-08-14 14:01:01.032517,2.64
80,104,122.0,aqua,control,2,0,2022-08-14 14:01:01.032942,2022-08-14 14:15:56.351238,14.92
81,105,123.0,aqua,control,2,1,2022-08-14 14:15:56.352247,2022-08-14 14:25:47.726086,9.86
82,106,124.0,aqua,control,3,0,2022-08-14 14:25:47.727943,2022-08-14 14:28:33.880114,2.77
